,date,closing,adjusted,evolution,quantity,volume
148,04/05/2022,376.0,376.0,0.0,92.0,34593.75
149,29/04/2022,376.0,376.0,0.8,145.0,54364.45
150,28/04/2022,373.0,373.0,0.0,0.0,0.0
151,27/04/2022,373.0,373.0,0.0,0.0,0.0
152,26/04/2022,373.0,373.0,2.16,9.0,3347.4
153,25/04/2022,365.1,365.1,0.58,1.0,365.1
154,22/04/2022,363.0,363.0,-1.89,20.0,7261.1
155,21/04/2022,370.0,370.0,0.0,26.0,9620.0
156,20/04/2022,370.0,370.0,0.0,24.0,8880.0
157,19/04/2022,370.0,370.0,0.27,104.0,38290.0
158,18/04/2022,369.0,369.0,-1.06,81.0,29503.0
159,15/04/2022,372.95,372.95,3.6,8.0,2983.6
160,14/04/2022,360.0,360.0,0.0,0.0,0.0
161,13/04/2022,360.0,360.0,-3.74,110.0,39934.05
162,12/04/2022,374.0,374.0,0.0,0.0,0.0
163,11/04/2022,374.0,374.0,3.87,58.0,21692.0
164,08/04/2022,360.05,360.05,0.0,0.0,0.0
165,07/04/2022,360.05,360.05,1.42,3.0,1080.15
166,06/04/2022,355.0,355.0,0.0,0.0,0.0
167,05/04/2022,355.0,355.0,0.0,0.0,0.0
168,04/04/2022,355.0,355.0,-5.65,105.0,37380.0
169,01/04/2022,376.25,376.25,5.99,25.0,9406.25
170,31/03/2022,355.0,355.0,0.0,0.0,0.0
171,30/03/2022,355.0,355.0,-2.67,195.0,69824.75
172,29/03/2022,364.75,364.75,-5.99,98.0,35745.5
173,28/03/2022,388.0,388.0,5.71,10.0,3880.0
174,25/03/2022,367.05,367.05,-5.88,521.0,191635.6
175,24/03/2022,390.0,390.0,2.63,15.0,5792.0
176,23/03/2022,380.0,380.0,2.7,50.0,18998.5
177,22/03/2022,370.0,370.0,-1.33,10.0,3700.0
178,21/03/2022,375.0,375.0,1.08,14.0,5250.0
179,18/03/2022,371.0,371.0,-3.01,36.0,13357.0
180,17/03/2022,382.5,382.5,2.27,114.0,42342.5
181,16/03/2022,374.0,374.0,1.63,378.0,137523.0
182,15/03/2022,368.0,368.0,5.14,208.0,75834.3
183,14/03/2022,350.0,350.0,-4.76,40.0,14210.8
184,11/03/2022,367.5,367.5,2.37,86.0,30716.5
185,10/03/2022,359.0,359.0,1.13,18.0,6422.0
186,09/03/2022,355.0,355.0,0.03,14.0,4970.0
187,08/03/2022,354.9,354.9,-0.03,3559.0,1262946.7
188,07/03/2022,355.0,355.0,-1.39,27.0,9587.0
189,04/03/2022,360.0,360.0,0.7,10.0,3600.0
190,03/03/2022,357.5,357.5,0.0,0.0,0.0
191,02/03/2022,357.5,357.5,-0.69,20.0,7150.0
192,01/03/2022,360.0,360.0,0.0,5.0,1800.0
193,28/02/2022,360.0,360.0,0.0,0.0,0.0
194,25/02/2022,360.0,360.0,1.41,3.0,1080.0
195,24/02/2022,355.0,355.0,-1.39,473.0,168023.2
196,23/02/2022,360.0,360.0,0.84,9.0,3243.0
197,22/02/2022,357.0,357.0,-2.19,240.0,86294.6
198,21/02/2022,365.0,365.0,0.83,7.0,2555.0
199,18/02/2022,362.0,362.0,0.56,86.0,31132.0
200,17/02/2022,360.0,360.0,-0.63,100.0,36000.0
201,16/02/2022,362.3,362.3,2.06,104.0,37246.25
202,15/02/2022,355.0,355.0,0.0,91.0,32425.5
203,14/02/2022,355.0,355.0,-0.56,252.0,89686.0
204,11/02/2022,357.0,357.0,-2.99,85.0,30385.0
205,10/02/2022,368.0,368.0,5.17,2950.0,1033758.0
206,09/02/2022,349.9,349.9,0.0,2.0,699.8
207,08/02/2022,349.9,349.9,0.0,69.0,24134.1
208,07/02/2022,349.9,349.9,0.0,12.0,4197.9
209,04/02/2022,349.9,349.9,0.0,15.0,5237.4
210,03/02/2022,349.9,349.9,0.0,0.0,0.0
