,date,closing,adjusted,evolution,quantity,volume
251,07/12/2021,62.93,47.2,-0.05,394.0,24798.45
252,06/12/2021,62.96,47.22,5.58,16.0,974.11
253,03/12/2021,59.63,44.73,-0.62,61.0,3695.59
254,02/12/2021,60.0,45.0,-1.64,454.0,27851.09
255,01/12/2021,61.0,45.75,-1.61,72.0,4393.95
256,30/11/2021,62.0,46.5,4.03,104.0,6349.8
257,29/11/2021,59.6,44.7,-4.61,203.0,12141.8
258,26/11/2021,62.48,46.86,0.45,55.0,3340.72
259,25/11/2021,62.2,46.65,-1.25,2.0,124.4
260,24/11/2021,62.99,47.25,0.0,0.0,0.0
261,23/11/2021,62.99,47.25,0.0,0.0,0.0
262,22/11/2021,62.99,47.25,3.26,93.0,5678.97
263,19/11/2021,61.0,45.75,-2.93,193.0,11866.0
264,17/11/2021,62.84,47.13,3.02,116.0,7046.8
265,16/11/2021,61.0,45.75,-0.34,791.0,48286.06
266,15/11/2021,61.21,45.91,-4.36,145.0,8818.79
267,12/11/2021,64.0,48.0,-0.57,20.0,1280.0
268,11/11/2021,64.37,48.28,-0.03,20.0,1287.4
269,10/11/2021,64.39,48.3,0.0,0.0,0.0
270,09/11/2021,64.39,48.3,0.0,14.0,901.46
271,08/11/2021,64.39,48.3,-0.6,118.0,7379.97
272,05/11/2021,64.78,48.59,0.0,0.0,0.0
273,04/11/2021,64.78,48.59,0.28,230.0,14895.75
274,03/11/2021,64.6,48.46,0.95,526.0,33707.85
275,02/11/2021,63.99,48.0,0.0,11.0,684.99
276,01/11/2021,63.99,48.0,-0.02,122.0,7806.78
277,29/10/2021,64.0,48.0,1.59,1057.0,67634.1
278,28/10/2021,63.0,47.25,2.61,673.0,42361.26
279,27/10/2021,61.4,46.05,0.33,193581.0,11518891.78
280,26/10/2021,61.2,45.9,0.33,144.0,8806.05
281,25/10/2021,61.0,45.75,-3.17,160196.0,9533531.26
282,22/10/2021,63.0,47.25,-1.55,5.0,315.0
283,21/10/2021,63.99,48.0,-0.84,727.0,45176.75
284,18/10/2021,64.53,48.4,0.06,3.0,190.53
285,15/10/2021,64.49,48.37,0.06,2.0,128.01
286,14/10/2021,64.45,48.34,-0.06,8.0,509.8
287,13/10/2021,64.49,48.37,-0.08,25001.0,1587064.49
288,12/10/2021,64.54,48.41,3.26,5.0,322.7
289,11/10/2021,62.5,46.88,0.0,3.0,189.55
290,08/10/2021,62.5,46.88,-3.22,257.0,16031.56
291,07/10/2021,64.58,48.44,-0.02,80.0,5166.7
292,06/10/2021,64.59,48.45,-0.15,10.0,645.9
293,05/10/2021,64.69,48.52,3.59,1.0,64.69
294,04/10/2021,62.45,46.84,1.54,8168.0,510094.15
295,01/10/2021,61.5,46.13,-3.91,590.0,36623.0
296,30/09/2021,64.0,48.0,-1.34,27.0,1727.56
297,29/09/2021,64.87,48.66,0.0,0.0,0.0
298,28/09/2021,64.87,48.66,2.16,131.0,8333.37
299,27/09/2021,63.5,47.63,-2.29,635.0,40675.57
300,24/09/2021,64.99,48.75,2.09,581.0,37099.24
301,23/09/2021,63.66,47.75,-2.03,65.0,4171.77
302,22/09/2021,64.98,48.74,-0.03,245.0,15645.03
